CODE SECTION,CODE TYPE,StatuteLiteral,OFFENSE LEVEL,EnactDate,RepealAmendDate,_section,_subparts,_subdivision,_paragraph,_subparagraph,_clause
94,PC,JUDL OFCR ACCEPT REWARD,M,20201109,99999999,94,,,,,
94.5,PC,JUDL OFCR ACC $ TO MARRY,M,19590918,99999999,94.5,,,,,
95,PC,INFLUENCE JUROR/ETC,F,18720101,99999999,95,,,,,
95.1,PC,THRET JUROR AFTER VERDICT,F,19880101,99999999,95.1,,,,,
95.1,PC,THRTN JUROR AFTER VERDICT,M,19880101,99999999,95.1,,,,,
95.2,PC,PROVIDE DEFT W/JUROR INFO,M,19930101,99999999,95.2,,,,,
95.3,PC,PI PRVD DEFT W/JUROR INFO,M,19930101,99999999,95.3,,,,,
96,PC,MISCONDUCT OF JUROR/ETC,F,18720101,99999999,96,,,,,
96.5(A),PC,JUDL OFCR OBSTRCT JUSTICE,M,19990101,99999999,96.5,(A),(A),,,
97,PC,JUDGE PURCHASE JUDGEMENT,M,18720101,99999999,97,,,,,
98.6(B)(2),LC,FAIL TO HIRE AFTR HEARING,M,20140101,99999999,98.6,(B)(2),(B),(2),,
99,PC,CONFLICT INT STATE PRNTR,F,18720101,99999999,99,,,,,
100,PC,COLLSN SUPERINT ST PRNTNG,F,18720101,99999999,100,,,,,
102,PC,TAKE/ETC GOODS FROM OFCR,M,18720101,99999999,102,,,,,
107,PC,ESC:PUB TRAINING SCH/ETC,F,19410913,20201124,107,,,,,
107,PC,ESC:PUB TRAINING/HOSP/ETC,F,20201125,99999999,107,,,,,
109,PC,AID/ETC ESC:TRNG SCH/ETC,F,18720101,20201124,109,,,,,
109,PC,ASSIST ESC PUB TRNG SCHL,F,20201125,99999999,109,,,,,
110,PC,FUR INMATE W/ESCAPE EQUIP,F,18720101,99999999,110,,,,,
112(A),PC,MFG/ETC FLSE GOV DOC,M,19950101,99999999,112,(A),(A),,,
113,PC,MFG/ETC FLSE CITZ/ETC DOC,F,19950101,99999999,113,,,,,
114,PC,USE FALSE CITIZEN/ETC DOC,F,19950101,99999999,114,,,,,
115(A),PC,OFFER/ETC FAKE INSTR:FILE,F,19850101,99999999,115,(A),(A),,,
115.1(B),PC,PBLSH CMPGN AD UNAUTH SIG,F,19910101,99999999,115.1,(B),(B),,,
115.1(B),PC,PBLSH CMPGN AD UNAUTH SIG,M,19910101,99999999,115.1,(B),(B),,,
115.2(A),PC,PUBLISH FALSE CAMPAIGN AD,M,19920101,99999999,115.2,(A),(A),,,
115.25(A),PC,PROD DOC INACC EMERG INFO,M,19930101,99999999,115.25,(A),(A),,,
115.3,PC,ALT/ETC CERT CPY OFCL REC,M,19840905,99999999,115.3,,,,,
115.5(A),PC,FILE FALSE/ETC REALTY DOC,M,19850101,99999999,115.5,(A),(A),,,
115.5(B),PC,FALSE STATE TO NOTARY PUB,F,19850101,99999999,115.5,(B),(B),,,
116,PC,TAMPERING W/JURY LIST,F,18720101,99999999,116,,,,,
116.5(A),PC,JURY TAMPERING,M,19950101,99999999,116.5,(A),(A),,,
117,PC,FALSIFY JURY LIST,F,18720101,99999999,117,,,,,
118(A),PC,PERJURY,F,19900101,99999999,118,(A),(A),,,
118.1,PC,OFCR FILES FALSE REPORT,F,19910101,20211231,118.1,,,,,
118.1,PC,OFFICER FILE FALSE REPORT,M,19910101,20211231,118.1,,,,,
118.1(A),PC,OFFICER FILE FALSE REPORT,M,20220101,99999999,118.1,(A),(A),,,
118.1(A),PC,OFFICER FILE FALSE REPORT,F,20220101,99999999,118.1,(A),(A),,,
118A,PC,FALSE AFFIDAVT AS PERJURY,F,19050101,99999999,118A,,,,,
119(A)(1),BP,DISPLAY/ETC REVOK/ETC LIC,M,19910101,99999999,119,(A)(1),(A),(1),,
119(C),BP,DISPLAY ANOTHER'S LICENSE,M,19650917,99999999,119,(C),(C),,,
119(F),BP,UNLAWFUL POSS/DUPL LICENS,M,19650917,99999999,119,(F),(F),,,
123(A),BP,SUBVERT LICENSING EXAM,M,19900101,99999999,123,(A),(A),,,
125,BP,BUS/PROF CONSPIRE W/UNLIC,M,19491001,99999999,125,,,,,
127,PC,SUBORNATION OF PERJURY,F,18720101,99999999,127,,,,,
128,PC,PERJ:INOCENT PRSN EXECUTD,F,18720101,99999999,128,,,,,
129,PC,FALSE STATEMNT UNDER OATH,F,19050101,99999999,129,,,,,
131,PC,FRDLNT CONDCT DRNG INVEST,M,20040101,99999999,131,,,,,
131,HN,OBSTRUCT NAVIGABLE WATERS,M,19370827,99999999,131,,,,,
132,PC,OFFER FALSE EVIDENCE,F,18720101,99999999,132,,,,,
132.5(A),PC,UNLAWFUL WITNESS COMPNS,M,19950101,99999999,132.5,(A),(A),,,
133,PC,DECEIVE WITNESS,M,18720101,99999999,133,,,,,
133(A),HN,DISCHRG FUEL OIL IN WATER,M,20100101,99999999,133,(A),(A),,,
134,PC,PREPARE FALSE EVIDENCE,F,18720101,99999999,134,,,,,
135,PC,DESTROY/CONCEAL EVIDENCE,M,18720101,99999999,135,,,,,
135.5,PC,FIX EVID:HARM SAFETY OFCR,M,19990101,99999999,135.5,,,,,
136.1(A)(1),PC,PREVENT/DISSUADE WIT/VICT,M,19910101,99999999,136.1,(A)(1),(A),(1),,
136.1(A)(1),PC,PRVENT/DISUADE VIC/WITNES,F,19980101,99999999,136.1,(A)(1),(A),(1),,
136.1(A)(2),PC,ATT PREVENT/DISS WIT/VICT,M,19910101,99999999,136.1,(A)(2),(A),(2),,
136.1(A)(2),PC,ATT PRVNT/DISUADE VIC/WIT,F,19980101,99999999,136.1,(A)(2),(A),(2),,
136.1(B)(1),PC,INTIM WIT/VICT FR/RPRT,M,19810101,99999999,136.1,(B)(1),(B),(1),,
136.1(B)(1),PC,ATT PRVNT/ETC VIC/ETC:RPT,F,19980101,99999999,136.1,(B)(1),(B),(1),,
136.1(B)(2),PC,INTIM WIT/VICT FROM PROS,M,19810101,99999999,136.1,(B)(2),(B),(2),,
136.1(B)(2),PC,ATT STOP VIC/ETC:PROSCUTE,F,19980101,99999999,136.1,(B)(2),(B),(2),,
136.1(B)(3),PC,INTIM WIT/VICT FR SEK ARR,M,19810101,99999999,136.1,(B)(3),(B),(3),,
136.1(B)(3),PC,ATT STOP VIC/ETC:SEK ARST,F,19980101,99999999,136.1,(B)(3),(B),(3),,
136.1(C)(1),PC,ATT PRVNT WIT/VICT W/FRC,F,20201105,99999999,136.1,(C)(1),(C),(1),,
136.1(C)(1),PC,INTIMIDATE WIT/VICT,F,19810101,20201104,136.1,(C)(1),(C),(1),,
136.1(C)(2),PC,ATT PRVNT WIT/VICT CONSP,F,20201105,99999999,136.1,(C)(2),(C),(2),,
136.1(C)(2),PC,INTIMIDATE WIT/VICT,F,19810101,20201104,136.1,(C)(2),(C),(2),,
136.1(C)(3),PC,INTIM WIT/VICT:PR CONV,F,19810101,99999999,136.1,(C)(3),(C),(3),,
136.1(C)(4),PC,PRVNT/ETC WIT/VICT GAIN,F,20201105,99999999,136.1,(C)(4),(C),(4),,
136.1(C)(4),PC,INTIMIDATE WIT/VICT,F,19810101,20201104,136.1,(C)(4),(C),(4),,
136.2(A)(7)(B)2,PC,POSSES F/ARM:VIOL P/ORDER,M,19810101,99999999,136.2,(A)(7)(B)2,(A),(7),(B),(2)
136.5,PC,C/D/WPN:INT:INTIM WIT/VIC,F,19830101,20201124,136.5,,,,,
136.5,PC,CDW W/INT INTIM WIT/VICT,M,19830101,99999999,136.5,,,,,
136.5,PC,CDW W/INT INTIM WIT/VICT,F,20201125,99999999,136.5,,,,,
136.7,PC,SEX OFR REVEAL WIT INFO,F,20201105,20211231,136.7,,,,,
136.7,PC,PRIS GIV PRIS WIT/ETC INF,F,19880101,20201104,136.7,,,,,
136.7,PC,SEX OFR REVEAL WIT INFO,M,19880101,20211231,136.7,,,,,
136.7(A),PC,SEX OFR REVEAL WIT INFO,M,20220101,99999999,136.7,(A),(A),,,
136.7(A),PC,SEX OFR REVEAL WIT INFO,F,20220101,99999999,136.7,(A),(A),,,
137(A),PC,INFLUENCE TESTIMONY:BRIBE,F,19780101,99999999,137,(A),(A),,,
137(B),PC,GET FLSE TESTMONY:FRC/ETC,F,19780101,20201108,137,(B),(B),,,
137(B),PC,ATT BRIB WIT BY FRC/ETC,F,20201109,99999999,137,(B),(B),,,
137(C),PC,UNLAW INFLU OF TESTIMONY,M,19780101,99999999,137,(C),(C),,,
138(A),PC,BRIBE WITNESS,F,19870101,99999999,138,(A),(A),,,
138(B),PC,WITNESS RECEIVE BRIBE,F,19910101,99999999,138,(B),(B),,,
139(A),PC,FELN THRT FRC/ETC:WIT/ETC,F,19860101,99999999,139,(A),(A),,,
139(A),PC,FEL THRTN FRC/ETC:WIT/ETC,M,19860101,99999999,139,(A),(A),,,
140(A),PC,THRTN FORCE WIT OF CRIME,F,20201105,99999999,140,(A),(A),,,
140(A),PC,THRTN FORCE WIT OF CRIME,M,20201105,99999999,140,(A),(A),,,
140(A),PC,THRET FORCE/ETC:WIT/VICT,F,19990101,20201104,140,(A),(A),,,
140(A),PC,THREAT FORCE/ETC WIT/VICT,M,19990101,20201104,140,(A),(A),,,
141(A),PC,ALT EVID WIT CHRG W/CRIME,M,20010101,99999999,141,(A),(A),,,
141(B),PC,PO ALT/ETC PHYS MATTER WI,F,20010101,99999999,141,(B),(B),,,
141(C),PC,PROS ATT ALT PHYS MTR WI,F,20170101,99999999,141,(C),(C),,,
142(A),PC,PO REFUSE TO ARREST,F,19800101,99999999,142,(A),(A),,,
142(A),PC,PO REFUSE TO ARREST,M,19800101,99999999,142,(A),(A),,,
145,PC,DELAY TAKING BEFORE JUDGE,M,18720101,99999999,145,,,,,
146(A),PC,MAKE ARREST/ETC W/O AUTH,M,19910101,99999999,146,(A),(A),,,
146(B),PC,SEIZE/LEVY PROP W/O AUTH,M,19910101,99999999,146,(B),(B),,,
146(C),PC,DSPSSESS LND/ETC W/O AUTH,M,19910101,99999999,146,(C),(C),,,
146A(A),PC,IMPERSON STATE DEPUTY/ETC,M,19940101,99999999,146A,(A),(A),,,
146A(A)(1),PC,FLS DEPUTY/ETC ARREST/DTN,M,19940101,99999999,146A,(A)(1),(A),(1),,
146A(A)(2),PC,FLS DEPUTY/ETC INTIMIDATE,M,19940101,99999999,146A,(A)(2),(A),(2),,
146A(A)(3),PC,FLS DEPUTY/ETC SRCH PERSN,M,19940101,99999999,146A,(A)(3),(A),(3),,
146A(A)(4),PC,FLS DEPUTY/ETC OBT MONEY,M,19940101,99999999,146A,(A)(4),(A),(4),,
146A(B)(1),PC,FLS PUB OFCR ARREST/DETN,M,19940101,99999999,146A,(B)(1),(B),(1),,
146A(B)(1),PC,FLS PUB OFCR ARREST/DETN,F,19940101,99999999,146A,(B)(1),(B),(1),,
146A(B)(2),PC,FLS PUB OFCR INTIM PERSON,M,19940101,99999999,146A,(B)(2),(B),(2),,
146A(B)(2),PC,FLS PUB OFCR INTIM PERSON,F,19940101,99999999,146A,(B)(2),(B),(2),,
146A(B)(3),PC,FLS PUB OFCR SEARCH PERSN,M,19940101,99999999,146A,(B)(3),(B),(3),,
146A(B)(3),PC,FLS PUB OFCR SEARCH PERSN,F,19940101,99999999,146A,(B)(3),(B),(3),,
146A(B)(4),PC,FLS PUB OFCR OBTAIN MONEY,M,19940101,99999999,146A,(B)(4),(B),(4),,
146A(B)(4),PC,FLS PUB OFCR OBTAIN MONEY,F,19940101,99999999,146A,(B)(4),(B),(4),,
146B,PC,REQ/ETC INFO GUIS GOV ENT,M,19590918,99999999,146B,,,,,
146C,PC,ILLEGAL USE PO/ETC NAME,M,19630920,99999999,146C,,,,,
146D,PC,SEL/ETC BAGE/ETC:FAV TRET,M,19630920,20201124,146D,,,,,
146D,PC,SELL/ETC BADGE FAV TRTMNT,M,20201125,99999999,146D,,,,,
146E,PC,DISCL PO/ETC ADR PH/NBR,M,19920101,99999999,146E,,,,,
146E(A),PC,DISCLS/ETC PO/ETC ADR/ETC,M,19950101,99999999,146E,(A),(A),,,
146E(B),PC,GIVE PO/ETC ADR/ETC:B/INJ,F,19950101,99999999,146E,(B),(B),,,
146G(A)(1),PC,PO/ETC DISCLOSE INFO,M,20080101,99999999,146G,(A)(1),(A),(1),,
146G(A)(2),PC,PO/ETC SOLICITS:EXCH INFO,M,20080101,99999999,146G,(A)(2),(A),(2),,
146G(B),PC,SOLICT PO/ETC FINAN GAIN,M,20080101,99999999,146G,(B),(B),,,
146G(C)(1),PC,PO/ETC SOLICIT:SELL PHOTO,M,20080101,99999999,146G,(C)(1),(C),(1),,
146G(C)(2),PC,SOLICT PO/ETC DISCL PHOTO,M,20080101,99999999,146G,(C)(2),(C),(2),,
147,PC,INHUMANITY TO PRISONERS,M,18720101,99999999,147,,,,,
148(A)(1),PC,OBSTRUCT/ETC PUB OFCR/ETC,M,19980101,99999999,148,(A)(1),(A),(1),,
148(A)(2),PC,OBSTR/ETC PUB OFC:RADIO,M,19980101,99999999,148,(A)(2),(A),(2),,
148(B),PC,TAKE NON-FIREARM FROM PO,F,19900101,99999999,148,(B),(B),,,
148(B),PC,TAKE PO/ETC WPN:NON-F/ARM,M,19900101,99999999,148,(B),(B),,,
148(C),PC,TAKE F/ARM FROM PO:SC,F,19900101,20201124,148,(C),(C),,,
148(C),PC,TAKE F/ARM FROM PO/ETC,F,20201125,99999999,148,(C),(C),,,
148(D),PC,ATT RMV/ETC F/ARM:PO/ETC,F,19900101,99999999,148,(D),(D),,,
148(D),PC,ATT REM/ETC PO/ETC F/ARM,M,19900101,99999999,148,(D),(D),,,
148(D)(1),PC,ATT RMV 'PO' F/ARM:S/CIRC,F,19900101,99999999,148,(D)(1),(D),(1),,
148.1(A),PC,FALSE BOMB/ETC REP:PO/ETC,F,19720304,99999999,148.1,(A),(A),,,
148.1(A),PC,FALSE BOMB/ETC RPT:PO/ETC,M,19720304,99999999,148.1,(A),(A),,,
148.1(B),PC,FALSE BOMB RPRT TO PO,F,19850101,20201108,148.1,(B),(B),,,
148.1(B),PC,FALSE BOMB REPORT ON DUTY,M,19671108,99999999,148.1,(B),(B),,,
148.1(B),PC,FALSE BOMB REPORT ON DUTY,F,20201109,99999999,148.1,(B),(B),,,
148.1(C),PC,FALSE BOMB REPORT,F,19850101,99999999,148.1,(C),(C),,,
148.1(C),PC,FALSE BOMB REPORT,M,19850101,99999999,148.1,(C),(C),,,
148.1(D),PC,GIVE/PLACE/ETC FALSE BOMB,F,19850101,99999999,148.1,(D),(D),,,
148.1(D),PC,GIVE/PLACE/ETC FALSE BOMB,M,19850101,99999999,148.1,(D),(D),,,
148.10(A),PC,RESIST PO:CAUSE DEATH/SBI,F,19910101,99999999,148.10,(A),(A),,,
148.10(A),PC,RESIST PO:CAUSE DEATH/SBI,M,19910101,99999999,148.10,(A),(A),,,
148.2(1),PC,RESIST/INTRFR W/FIREMAN,M,20210119,99999999,148.2,(1),(1),,,
148.2(2),PC,DISOBEY FIREMAN/PO ORDERS,M,19660418,99999999,148.2,(2),(2),,,
148.2(3),PC,DISORD CONDUCT AT FIRE,M,19660418,99999999,148.2,(3),(3),,,
148.2(4),PC,PRVNT ASSTNC EXTNGSH FIRE,M,19660418,99999999,148.2,(4),(4),,,
148.2.1,PC,INTRFER/ETC:FIREMAN/RESCR,M,19660418,20201112,148.2.1,,,,,
148.2.1,PC,RESIST/INTRFR W/FIREMAN,M,20201113,99999999,148.2.1,,,,,
148.2.2,PC,DISOBEY ORDR OF F/MAN/ETC,M,19660418,19660418,148.2.2,,,,,
148.2.3,PC,DLAY/PRVNT FIRE EXTNGUISH,M,19660418,19660418,148.2.3,,,,,
148.2.4,PC,PREVENT FIRE ASSISTANCE,M,19660418,19660418,148.2.4,,,,,
148.3(A),PC,FALSE REPORT EMERGENCY,M,19671108,99999999,148.3,(A),(A),,,
148.3(B),PC,FALSE RPT EMERG:GBI/DEATH,F,19671108,99999999,148.3,(B),(B),,,
148.4(A)(1),PC,TAMPER/ETC W/FIREALRM/ETC,M,19910101,99999999,148.4,(A)(1),(A),(1),,
148.4(A)(2),PC,SEND/ETC FALSE FIRE ALARM,M,19910101,99999999,148.4,(A)(2),(A),(2),,
148.4(B)(1),PC,FALSE FIRE ALARM:GBI,F,19910101,99999999,148.4,(B)(1),(B),(1),,
148.4(B)(2),PC,FALSE FIRE ALARM:DEATH,F,19910101,99999999,148.4,(B)(2),(B),(2),,
148.5(A),PC,FALSE CRIME:TO SPEC PO'S,M,19850101,99999999,148.5,(A),(A),,,
148.5(B),PC,FALS RPT CRIME:SPEC PO,M,19850101,20201124,148.5,(B),(B),,,
148.5(B),PC,RPRT FLS CRIME: ANY PO,M,20201125,99999999,148.5,(B),(B),,,
148.5(C),PC,FLS RPT CRIME:LAW ENF EMP,M,19870101,99999999,148.5,(C),(C),,,
148.5(D),PC,FLS RPT CRIME:GRAND JURY,M,19910101,99999999,148.5,(D),(D),,,
148.5(F),PC,FLS RPT F/A LOST:LE EMP,M,20170101,99999999,148.5,(F),(F),,,
148.6(A)(1),PC,FALSE ALEGE:PO MISCONDUCT,M,19970101,99999999,148.6,(A)(1),(A),(1),,
148.6(B),PC,FALSE CLAIM/LEIN AGNST PO,M,19970101,99999999,148.6,(B),(B),,,
148.7,PC,IMPRSNATE:SRV OTHRS SENT,M,19630920,20201124,148.7,,,,,
148.7,PC,IMPRS TO SRV OTHERS SENT,M,20201125,99999999,148.7,,,,,
148.9(A),PC,GIVE FALSE ID TO PO,M,20201105,99999999,148.9,(A),(A),,,
148.9(A),PC,FALSE ID TO SPECIFIC PO'S,M,19850101,20201104,148.9,(A),(A),,,
148.9(B),PC,FALSE ID TO SPECIFIC PO,M,19850101,99999999,148.9,(B),(B),,,
149,PC,ASSAULT BY PUBLIC OFFICER,F,18720101,99999999,149,,,,,
149,PC,ASSAULT BY PUBLIC OFFICER,M,20111001,99999999,149,,,,,
150,PC,REFUSE TO AID OFFICER,M,18720101,20191231,150,,,,,
151(A)(1),PC,ADVOCATE INJ PO W/O INJ,M,19720304,20201027,151,(A)(1),(A),(1),,
151(A)(1),PC,ADVOC KILL/INJ PO W/O INJ,M,20201028,99999999,151,(A)(1),(A),(1),,
151(A)(2),PC,ADVOCAT KILL/INJ PO W/INJ,F,19720304,20201027,151,(A)(2),(A),(2),,
151(A)(2),PC,ADVOC KILL/INJ PO W/INJ,F,20201028,99999999,151,(A)(2),(A),(2),,
152(A),PC,CONCL/ETC ACCIDENTL DEATH,M,20000101,99999999,152,(A),(A),,,
152.3(A),PC,FL RPRT CRIME AGNST CHILD,M,20201113,99999999,152.3,(A),(A),,,
152.3(D),PC,FAIL RPT CRIM AGST CHILD,M,20010101,20201112,152.3,(D),(D),,,
153,PC,COMP/CNCEL CRIM:TAK $/ETC,M,18720101,99999999,153,,,,,
153,PC,COMP/CNCEL CRIM:FOR $/ETC,F,18720101,99999999,153,,,,,
154(A),PC,DBTR HID/ETC PROP:DEF/ETC,M,19910101,20201102,154,(A),(A),,,
154(A),PC,DEBTOR HIDE PROP INT/DFRD,M,20201103,99999999,154,(A),(A),,,
154(B),PC,DBTR HID/ETC PROP:DEF/ETC,F,19910101,99999999,154,(B),(B),,,
155(A),PC,DEFN HID/ETC PROP:DEF/ETC,M,19910101,20201102,155,(A),(A),,,
155(A),PC,DEFT HIDE PROP INT/DFRD,M,20201103,99999999,155,(A),(A),,,
155(B),PC,DEFN HID/ETC PROP:DEF/ETC,F,19910101,20201103,155,(B),(B),,,
155(B),PC,DEFT HIDE PROP INT/DFRD,F,20201103,99999999,155,(B),(B),,,
155.5(A),PC,SELL/ETC PROP AVOID RESTN,M,19870101,99999999,155.5,(A),(A),,,
155.5(B),PC,SELL/ETC PROP:AVOID RESTI,F,19870101,99999999,155.5,(B),(B),,,
156,PC,MISREP CHILD TO INHERIT,F,18720101,99999999,156,,,,,
157,PC,SUB ONE CHILD FOR ANOTHER,F,18720101,99999999,157,,,,,
158,PC,COMMON BARRATRY,M,18720101,99999999,158,,,,,
160(A),PC,BAIL SRVS:SOLICITATION,M,20050101,99999999,160,(A),(A),,,
165,PC,BRIBE PUBLIC OFFICIAL,F,19050101,99999999,165,,,,,
166(A)(1),PC,CNTMPT:CRT:DISRD/ETC BEHV,M,19940101,99999999,166,(A)(1),(A),(1),,
166(A)(10),PC,CONTEMPT:VIOL GANG INJUNC,M,20120101,99999999,166,(A)(10),(A),(10),,
166(A)(2),PC,CONTEMPT:PRESENCE OF JURY,M,19940101,99999999,166,(A)(2),(A),(2),,
166(A)(3),PC,CONTEMPT:BREACH OF PEACE,M,19940101,99999999,166,(A)(3),(A),(3),,
166(A)(4),PC,CONTEMPT:DISOBEY CRT ORDR,M,19940101,99999999,166,(A)(4),(A),(4),,
166(A)(5),PC,CONTEMPT:RESIST ORDER/ETC,M,19940101,99999999,166,(A)(5),(A),(5),,
166(A)(6),PC,CONTEMPT:REFUSE TO SWEAR,M,19940101,20111231,166,(A)(6),(A),(6),,
166(A)(6),PC,CONTEMPT:JUROR DISOBEY,M,20120101,20201108,166,(A)(6),(A),(6),,
166(A)(6),PC,COC: REFUSE TO SWEAR,M,20201109,99999999,166,(A)(6),(A),(6),,
166(A)(7),PC,CONTEMPT:PUB FLS/ETC RPT,M,19940101,20111231,166,(A)(7),(A),(7),,
166(A)(7),PC,CONTEMPT:REFUSE TO SWEAR,M,20120101,20201108,166,(A)(7),(A),(7),,
166(A)(7),PC,COC: PUB FLS/ETC CRT RPT,M,20201109,99999999,166,(A)(7),(A),(7),,
166(A)(8),PC,CONTEMPT:INFLUENCE SENT,M,19940101,20111231,166,(A)(8),(A),(8),,
166(A)(8),PC,CONTEMPT:PUB FLS/ETC RPT,M,20120101,20201108,166,(A)(8),(A),(8),,
166(A)(8),PC,COC: TRY INFLU SENTENCE,M,20201109,99999999,166,(A)(8),(A),(8),,
166(A)(9),PC,CONTEMPT:INFLUENCE SENT,M,20120101,20201108,166,(A)(9),(A),(9),,
166(A)(9),PC,COC: VIOLATE GANG INJUNC,M,20201109,99999999,166,(A)(9),(A),(9),,
166(B)(1),PC,CNTEMPT OF COURT:PR 646.9,M,18000101,99999999,166,(B)(1),(B),(1),,
166(C)(1),PC,CONTEMPT:VIOL PROTECT ORD,M,19940101,99999999,166,(C)(1),(C),(1),,
166(C)(4),PC,VIO PROT ORD:DOMSTIC W/PR,F,19940101,99999999,166,(C)(4),(C),(4),,
166(C)(4),PC,VIO PROT ORDER:DOMES:W/PR,M,19940101,99999999,166,(C)(4),(C),(4),,
166(D)(1),PC,VIO PROT ORD:W/FIREARM,M,19940101,99999999,166,(D)(1),(D),(1),,
166(D)(1),PC,VIO PROT ORD:W/FIREARM,F,19940101,99999999,166,(D)(1),(D),(1),,
167,PC,RECORD JURY DELIBERATION,M,19570911,99999999,167,,,,,
168(A),PC,DISCL WARR INFO PR EXECUT,F,19870101,99999999,168,(A),(A),,,
169,PC,PICKT COURTHSE IMPDE JUST,M,19700918,99999999,169,,,,,
170,PC,OBTAIN WARRANT W/O CAUSE,M,18720101,99999999,170,,,,,
