_original_section,_code_type,StatuteLiteral,_level,EnactDate,RepealAmendDate,_section_only,_subparts,_subdivision,_paragraph,_subparagraph,_clause,_charge_reconstructed
136.1(A)(1),PC,PREVENT/DISSUADE WIT/VICT,M,1991-01-01,,136.1,(A)(1),(A),(1),,,136.1(A)(1)
136.1(A)(1),PC,PRVENT/DISUADE VIC/WITNES,F,1998-01-01,,136.1,(A)(1),(A),(1),,,136.1(A)(1)
136.1(A)(2),PC,ATT PREVENT/DISS WIT/VICT,M,1991-01-01,,136.1,(A)(2),(A),(2),,,136.1(A)(2)
136.1(A)(2),PC,ATT PRVNT/DISUADE VIC/WIT,F,1998-01-01,,136.1,(A)(2),(A),(2),,,136.1(A)(2)
136.1(B)(1),PC,INTIM WIT/VICT FR/RPRT,M,1981-01-01,,136.1,(B)(1),(B),(1),,,136.1(B)(1)
136.1(B)(1),PC,ATT PRVNT/ETC VIC/ETC:RPT,F,1998-01-01,,136.1,(B)(1),(B),(1),,,136.1(B)(1)
136.1(B)(2),PC,INTIM WIT/VICT FROM PROS,M,1981-01-01,,136.1,(B)(2),(B),(2),,,136.1(B)(2)
136.1(B)(2),PC,ATT STOP VIC/ETC:PROSCUTE,F,1998-01-01,,136.1,(B)(2),(B),(2),,,136.1(B)(2)
136.1(B)(3),PC,INTIM WIT/VICT FR SEK ARR,M,1981-01-01,,136.1,(B)(3),(B),(3),,,136.1(B)(3)
136.1(B)(3),PC,ATT STOP VIC/ETC:SEK ARST,F,1998-01-01,,136.1,(B)(3),(B),(3),,,136.1(B)(3)
136.1(C)(1),PC,ATT PRVNT WIT/VICT W/FRC,F,2020-11-05,,136.1,(C)(1),(C),(1),,,136.1(C)(1)
136.1(C)(1),PC,INTIMIDATE WIT/VICT,F,1981-01-01,2020-11-04,136.1,(C)(1),(C),(1),,,136.1(C)(1)
136.1(C)(2),PC,ATT PRVNT WIT/VICT CONSP,F,2020-11-05,,136.1,(C)(2),(C),(2),,,136.1(C)(2)
136.1(C)(2),PC,INTIMIDATE WIT/VICT,F,1981-01-01,2020-11-04,136.1,(C)(2),(C),(2),,,136.1(C)(2)
136.1(C)(3),PC,INTIM WIT/VICT:PR CONV,F,1981-01-01,,136.1,(C)(3),(C),(3),,,136.1(C)(3)
136.1(C)(4),PC,PRVNT/ETC WIT/VICT GAIN,F,2020-11-05,,136.1,(C)(4),(C),(4),,,136.1(C)(4)
136.1(C)(4),PC,INTIMIDATE WIT/VICT,F,1981-01-01,2020-11-04,136.1,(C)(4),(C),(4),,,136.1(C)(4)
136.2(A)(7)(B)2,PC,POSSES F/ARM:VIOL P/ORDER,M,1981-01-01,,136.2,(A)(7)(B)2,(A),(7),(B),(2),136.2(A)(7)(B)(2)
136.5,PC,C/D/WPN:INT:INTIM WIT/VIC,F,1983-01-01,2020-11-24,136.5,,,,,,136.5
136.5,PC,CDW W/INT INTIM WIT/VICT,M,1983-01-01,,136.5,,,,,,136.5
136.5,PC,CDW W/INT INTIM WIT/VICT,F,2020-11-25,,136.5,,,,,,136.5
136.7,PC,SEX OFR REVEAL WIT INFO,F,2020-11-05,2021-12-31,136.7,,,,,,136.7
136.7,PC,PRIS GIV PRIS WIT/ETC INF,F,1988-01-01,2020-11-04,136.7,,,,,,136.7
136.7,PC,SEX OFR REVEAL WIT INFO,M,1988-01-01,2021-12-31,136.7,,,,,,136.7
137(A),PC,INFLUENCE TESTIMONY:BRIBE,F,1978-01-01,,137,(A),(A),,,,137(A)
137(B),PC,GET FLSE TESTMONY:FRC/ETC,F,1978-01-01,2020-11-08,137,(B),(B),,,,137(B)
137(B),PC,ATT BRIB WIT BY FRC/ETC,F,2020-11-09,,137,(B),(B),,,,137(B)
137(C),PC,UNLAW INFLU OF TESTIMONY,M,1978-01-01,,137,(C),(C),,,,137(C)
138(A),PC,BRIBE WITNESS,F,1987-01-01,,138,(A),(A),,,,138(A)
138(B),PC,WITNESS RECEIVE BRIBE,F,1991-01-01,,138,(B),(B),,,,138(B)
139(A),PC,FELN THRT FRC/ETC:WIT/ETC,F,1986-01-01,,139,(A),(A),,,,139(A)
139(A),PC,FEL THRTN FRC/ETC:WIT/ETC,M,1986-01-01,,139,(A),(A),,,,139(A)
140(A),PC,THRTN FORCE WIT OF CRIME,F,2020-11-05,,140,(A),(A),,,,140(A)
140(A),PC,THRTN FORCE WIT OF CRIME,M,2020-11-05,,140,(A),(A),,,,140(A)
140(A),PC,THRET FORCE/ETC:WIT/VICT,F,1999-01-01,2020-11-04,140,(A),(A),,,,140(A)
140(A),PC,THREAT FORCE/ETC WIT/VICT,M,1999-01-01,2020-11-04,140,(A),(A),,,,140(A)
141(A),PC,ALT EVID WIT CHRG W/CRIME,M,2001-01-01,,141,(A),(A),,,,141(A)
141(B),PC,PO ALT/ETC PHYS MATTER WI,F,2001-01-01,,141,(B),(B),,,,141(B)
141(C),PC,PROS ATT ALT PHYS MTR WI,F,2017-01-01,,141,(C),(C),,,,141(C)
142(A),PC,PO REFUSE TO ARREST,F,1980-01-01,,142,(A),(A),,,,142(A)
142(A),PC,PO REFUSE TO ARREST,M,1980-01-01,,142,(A),(A),,,,142(A)
145,PC,DELAY TAKING BEFORE JUDGE,M,1872-01-01,,145,,,,,,145
146(A),PC,MAKE ARREST/ETC W/O AUTH,M,1991-01-01,,146,(A),(A),,,,146(A)
146(B),PC,SEIZE/LEVY PROP W/O AUTH,M,1991-01-01,,146,(B),(B),,,,146(B)
146(C),PC,DSPSSESS LND/ETC W/O AUTH,M,1991-01-01,,146,(C),(C),,,,146(C)
146A(A),PC,IMPERSON STATE DEPUTY/ETC,M,1994-01-01,,146A,(A),(A),,,,146A(A)
146A(A)(1),PC,FLS DEPUTY/ETC ARREST/DTN,M,1994-01-01,,146A,(A)(1),(A),(1),,,146A(A)(1)
146A(A)(2),PC,FLS DEPUTY/ETC INTIMIDATE,M,1994-01-01,,146A,(A)(2),(A),(2),,,146A(A)(2)
146A(A)(3),PC,FLS DEPUTY/ETC SRCH PERSN,M,1994-01-01,,146A,(A)(3),(A),(3),,,146A(A)(3)
146A(A)(4),PC,FLS DEPUTY/ETC OBT MONEY,M,1994-01-01,,146A,(A)(4),(A),(4),,,146A(A)(4)
146A(B)(1),PC,FLS PUB OFCR ARREST/DETN,M,1994-01-01,,146A,(B)(1),(B),(1),,,146A(B)(1)
146A(B)(1),PC,FLS PUB OFCR ARREST/DETN,F,1994-01-01,,146A,(B)(1),(B),(1),,,146A(B)(1)
146A(B)(2),PC,FLS PUB OFCR INTIM PERSON,M,1994-01-01,,146A,(B)(2),(B),(2),,,146A(B)(2)
146A(B)(2),PC,FLS PUB OFCR INTIM PERSON,F,1994-01-01,,146A,(B)(2),(B),(2),,,146A(B)(2)
146A(B)(3),PC,FLS PUB OFCR SEARCH PERSN,M,1994-01-01,,146A,(B)(3),(B),(3),,,146A(B)(3)
146A(B)(3),PC,FLS PUB OFCR SEARCH PERSN,F,1994-01-01,,146A,(B)(3),(B),(3),,,146A(B)(3)
146A(B)(4),PC,FLS PUB OFCR OBTAIN MONEY,M,1994-01-01,,146A,(B)(4),(B),(4),,,146A(B)(4)
146A(B)(4),PC,FLS PUB OFCR OBTAIN MONEY,F,1994-01-01,,146A,(B)(4),(B),(4),,,146A(B)(4)
146B,PC,REQ/ETC INFO GUIS GOV ENT,M,1959-09-18,,146B,,,,,,146B
146C,PC,ILLEGAL USE PO/ETC NAME,M,1963-09-20,,146C,,,,,,146C
146D,PC,SEL/ETC BAGE/ETC:FAV TRET,M,1963-09-20,2020-11-24,146D,,,,,,146D
146D,PC,SELL/ETC BADGE FAV TRTMNT,M,2020-11-25,,146D,,,,,,146D
146E,PC,DISCL PO/ETC ADR PH/NBR,M,1992-01-01,,146E,,,,,,146E
146E(A),PC,DISCLS/ETC PO/ETC ADR/ETC,M,1995-01-01,,146E,(A),(A),,,,146E(A)
146E(B),PC,GIVE PO/ETC ADR/ETC:B/INJ,F,1995-01-01,,146E,(B),(B),,,,146E(B)
146G(A)(1),PC,PO/ETC DISCLOSE INFO,M,2008-01-01,,146G,(A)(1),(A),(1),,,146G(A)(1)
146G(A)(2),PC,PO/ETC SOLICITS:EXCH INFO,M,2008-01-01,,146G,(A)(2),(A),(2),,,146G(A)(2)
146G(B),PC,SOLICT PO/ETC FINAN GAIN,M,2008-01-01,,146G,(B),(B),,,,146G(B)
146G(C)(1),PC,PO/ETC SOLICIT:SELL PHOTO,M,2008-01-01,,146G,(C)(1),(C),(1),,,146G(C)(1)
146G(C)(2),PC,SOLICT PO/ETC DISCL PHOTO,M,2008-01-01,,146G,(C)(2),(C),(2),,,146G(C)(2)
147,PC,INHUMANITY TO PRISONERS,M,1872-01-01,,147,,,,,,147
148(A)(1),PC,OBSTRUCT/ETC PUB OFCR/ETC,M,1998-01-01,,148,(A)(1),(A),(1),,,148(A)(1)
148(A)(2),PC,OBSTR/ETC PUB OFC:RADIO,M,1998-01-01,,148,(A)(2),(A),(2),,,148(A)(2)
148(B),PC,TAKE NON-FIREARM FROM PO,F,1990-01-01,,148,(B),(B),,,,148(B)
148(B),PC,TAKE PO/ETC WPN:NON-F/ARM,M,1990-01-01,,148,(B),(B),,,,148(B)
148(C),PC,TAKE F/ARM FROM PO:SC,F,1990-01-01,2020-11-24,148,(C),(C),,,,148(C)
148(C),PC,TAKE F/ARM FROM PO/ETC,F,2020-11-25,,148,(C),(C),,,,148(C)
148(D),PC,ATT RMV/ETC F/ARM:PO/ETC,F,1990-01-01,,148,(D),(D),,,,148(D)
148(D),PC,ATT REM/ETC PO/ETC F/ARM,M,1990-01-01,,148,(D),(D),,,,148(D)
148(D)(1),PC,ATT RMV 'PO' F/ARM:S/CIRC,F,1990-01-01,,148,(D)(1),(D),(1),,,148(D)(1)
148.1(A),PC,FALSE BOMB/ETC REP:PO/ETC,F,1972-03-04,,148.1,(A),(A),,,,148.1(A)
148.1(A),PC,FALSE BOMB/ETC RPT:PO/ETC,M,1972-03-04,,148.1,(A),(A),,,,148.1(A)
148.1(B),PC,FALSE BOMB RPRT TO PO,F,1985-01-01,2020-11-08,148.1,(B),(B),,,,148.1(B)
148.1(B),PC,FALSE BOMB REPORT ON DUTY,M,1967-11-08,,148.1,(B),(B),,,,148.1(B)
148.1(B),PC,FALSE BOMB REPORT ON DUTY,F,2020-11-09,,148.1,(B),(B),,,,148.1(B)
148.1(C),PC,FALSE BOMB REPORT,F,1985-01-01,,148.1,(C),(C),,,,148.1(C)
148.1(C),PC,FALSE BOMB REPORT,M,1985-01-01,,148.1,(C),(C),,,,148.1(C)
148.1(D),PC,GIVE/PLACE/ETC FALSE BOMB,F,1985-01-01,,148.1,(D),(D),,,,148.1(D)
148.1(D),PC,GIVE/PLACE/ETC FALSE BOMB,M,1985-01-01,,148.1,(D),(D),,,,148.1(D)
148.10(A),PC,RESIST PO:CAUSE DEATH/SBI,F,1991-01-01,,148.10,(A),(A),,,,148.10(A)
148.10(A),PC,RESIST PO:CAUSE DEATH/SBI,M,1991-01-01,,148.10,(A),(A),,,,148.10(A)
148.2(2),PC,DISOBEY FIREMAN/PO ORDERS,M,1966-04-18,,148.2,(2),(2),,,,148.2(2)
148.2(3),PC,DISORD CONDUCT AT FIRE,M,1966-04-18,,148.2,(3),(3),,,,148.2(3)
148.2(4),PC,PRVNT ASSTNC EXTNGSH FIRE,M,1966-04-18,,148.2,(4),(4),,,,148.2(4)
148.2.1,PC,INTRFER/ETC:FIREMAN/RESCR,M,1966-04-18,2020-11-12,148.2.1,,,,,,148.2.1
148.2.1,PC,RESIST/INTRFR W/FIREMAN,M,2020-11-13,,148.2.1,,,,,,148.2.1
148.2.2,PC,DISOBEY ORDR OF F/MAN/ETC,M,1966-04-18,1966-04-18,148.2.2,,,,,,148.2.2
148.2.3,PC,DLAY/PRVNT FIRE EXTNGUISH,M,1966-04-18,1966-04-18,148.2.3,,,,,,148.2.3
148.2.4,PC,PREVENT FIRE ASSISTANCE,M,1966-04-18,1966-04-18,148.2.4,,,,,,148.2.4
148.3(A),PC,FALSE REPORT EMERGENCY,M,1967-11-08,,148.3,(A),(A),,,,148.3(A)
148.3(B),PC,FALSE RPT EMERG:GBI/DEATH,F,1967-11-08,,148.3,(B),(B),,,,148.3(B)
148.4(A)(1),PC,TAMPER/ETC W/FIREALRM/ETC,M,1991-01-01,,148.4,(A)(1),(A),(1),,,148.4(A)(1)
148.4(A)(2),PC,SEND/ETC FALSE FIRE ALARM,M,1991-01-01,,148.4,(A)(2),(A),(2),,,148.4(A)(2)
148.4(B)(1),PC,FALSE FIRE ALARM:GBI,F,1991-01-01,,148.4,(B)(1),(B),(1),,,148.4(B)(1)
148.4(B)(2),PC,FALSE FIRE ALARM:DEATH,F,1991-01-01,,148.4,(B)(2),(B),(2),,,148.4(B)(2)
148.5(A),PC,FALSE CRIME:TO SPEC PO'S,M,1985-01-01,,148.5,(A),(A),,,,148.5(A)
148.5(B),PC,FALS RPT CRIME:SPEC PO,M,1985-01-01,2020-11-24,148.5,(B),(B),,,,148.5(B)
148.5(B),PC,RPRT FLS CRIME: ANY PO,M,2020-11-25,,148.5,(B),(B),,,,148.5(B)
148.5(C),PC,FLS RPT CRIME:LAW ENF EMP,M,1987-01-01,,148.5,(C),(C),,,,148.5(C)
148.5(D),PC,FLS RPT CRIME:GRAND JURY,M,1991-01-01,,148.5,(D),(D),,,,148.5(D)
148.5(F),PC,FLS RPT F/A LOST:LE EMP,M,2017-01-01,,148.5,(F),(F),,,,148.5(F)
148.6(A)(1),PC,FALSE ALEGE:PO MISCONDUCT,M,1997-01-01,,148.6,(A)(1),(A),(1),,,148.6(A)(1)
148.6(B),PC,FALSE CLAIM/LEIN AGNST PO,M,1997-01-01,,148.6,(B),(B),,,,148.6(B)
148.7,PC,IMPRSNATE:SRV OTHRS SENT,M,1963-09-20,2020-11-24,148.7,,,,,,148.7
148.7,PC,IMPRS TO SRV OTHERS SENT,M,2020-11-25,,148.7,,,,,,148.7
148.9(A),PC,GIVE FALSE ID TO PO,M,2020-11-05,,148.9,(A),(A),,,,148.9(A)
148.9(A),PC,FALSE ID TO SPECIFIC PO'S,M,1985-01-01,2020-11-04,148.9,(A),(A),,,,148.9(A)
148.9(B),PC,FALSE ID TO SPECIFIC PO,M,1985-01-01,,148.9,(B),(B),,,,148.9(B)
149,PC,ASSAULT BY PUBLIC OFFICER,F,1872-01-01,,149,,,,,,149
149,PC,ASSAULT BY PUBLIC OFFICER,M,2011-10-01,,149,,,,,,149
150,PC,REFUSE TO AID OFFICER,M,1872-01-01,2019-12-31,150,,,,,,150
151(A)(1),PC,ADVOCATE INJ PO W/O INJ,M,1972-03-04,2020-10-27,151,(A)(1),(A),(1),,,151(A)(1)
151(A)(1),PC,ADVOC KILL/INJ PO W/O INJ,M,2020-10-28,,151,(A)(1),(A),(1),,,151(A)(1)
151(A)(2),PC,ADVOCAT KILL/INJ PO W/INJ,F,1972-03-04,2020-10-27,151,(A)(2),(A),(2),,,151(A)(2)
151(A)(2),PC,ADVOC KILL/INJ PO W/INJ,F,2020-10-28,,151,(A)(2),(A),(2),,,151(A)(2)
152(A),PC,CONCL/ETC ACCIDENTL DEATH,M,2000-01-01,,152,(A),(A),,,,152(A)
152.3(A),PC,FL RPRT CRIME AGNST CHILD,M,2020-11-13,,152.3,(A),(A),,,,152.3(A)
152.3(D),PC,FAIL RPT CRIM AGST CHILD,M,2001-01-01,2020-11-12,152.3,(D),(D),,,,152.3(D)
153,PC,COMP/CNCEL CRIM:TAK $/ETC,M,1872-01-01,,153,,,,,,153
153,PC,COMP/CNCEL CRIM:FOR $/ETC,F,1872-01-01,,153,,,,,,153
154(A),PC,DBTR HID/ETC PROP:DEF/ETC,M,1991-01-01,2020-11-02,154,(A),(A),,,,154(A)
154(A),PC,DEBTOR HIDE PROP INT/DFRD,M,2020-11-03,,154,(A),(A),,,,154(A)
154(B),PC,DBTR HID/ETC PROP:DEF/ETC,F,1991-01-01,,154,(B),(B),,,,154(B)
155(A),PC,DEFN HID/ETC PROP:DEF/ETC,M,1991-01-01,2020-11-02,155,(A),(A),,,,155(A)
155(A),PC,DEFT HIDE PROP INT/DFRD,M,2020-11-03,,155,(A),(A),,,,155(A)
155(B),PC,DEFN HID/ETC PROP:DEF/ETC,F,1991-01-01,2020-11-03,155,(B),(B),,,,155(B)
155(B),PC,DEFT HIDE PROP INT/DFRD,F,2020-11-03,,155,(B),(B),,,,155(B)
155.5(A),PC,SELL/ETC PROP AVOID RESTN,M,1987-01-01,,155.5,(A),(A),,,,155.5(A)
155.5(B),PC,SELL/ETC PROP:AVOID RESTI,F,1987-01-01,,155.5,(B),(B),,,,155.5(B)
156,PC,MISREP CHILD TO INHERIT,F,1872-01-01,,156,,,,,,156
157,PC,SUB ONE CHILD FOR ANOTHER,F,1872-01-01,,157,,,,,,157
158,PC,COMMON BARRATRY,M,1872-01-01,,158,,,,,,158
160(A),PC,BAIL SRVS:SOLICITATION,M,2005-01-01,,160,(A),(A),,,,160(A)
165,PC,BRIBE PUBLIC OFFICIAL,F,1905-01-01,,165,,,,,,165
166(A)(1),PC,CNTMPT:CRT:DISRD/ETC BEHV,M,1994-01-01,,166,(A)(1),(A),(1),,,166(A)(1)
