_geocodio_number,_geocodio_street,_geocodio_city,_geocodio_state,_geocodio_zip,_geocodio_street_address,_project_types,_org_names,_org_ids,_subcategory,_category,_parsed,_coc_ids
100,KENDALL WAY,WINDSOR,CA,95492,100 KENDALL WAY,OPH; PSH,MHSA (SCBH) Vida Nueva; MHSA (SCBH) Windsor Redwoods,32449,mixed support,sheltered,"100 KENDALL WAY, WINDSOR, CA, 95492",CA-504
100,NE 120TH AVE,PORTLAND,OR,97220,100 NE 120TH AVE,PSH,Impact Northwest - B2H- Eastgate Station(3099); Impact Northwest-B2H- Eastgate Station(3099),11471,permanent supportive housing,sheltered,"100 NE 120TH AVE, PORTLAND, OR, 97220",OR-501
100,S PLYMOUTH AVE,BAKERSFIELD,CA,93308,100 S PLYMOUTH AVE,TH; PSH,Plymouth Rock; Family Transitional,3678,mixed support,sheltered,"100 S PLYMOUTH AVE, BAKERSFIELD, CA, 93308",CA-604
100,SUNSET AVE,VENICE,CA,90291,100 SUNSET AVE,ES,A Bridge Home Sunset Individuals; A Bridge Home Sunset Youth,5405,emergency shelter,unhoused,"100 SUNSET AVE, VENICE, CA, 90291",CA-600
100,W 13TH AVE,EUGENE,OR,97401,100 W 13TH AVE,PSH,Consolidated SPC/Madrone PSH [CoC],8761,permanent supportive housing,sheltered,"100 W 13TH AVE, EUGENE, OR, 97401",OR-500
100,W BROADWAY,LONG BEACH,CA,90802,100 W BROADWAY,RRH; PSH,Chronic Homeless Housing - CHH; SSVF Operation Healthy Homecoming RRH,4418; 30785,mixed support,sheltered,"100 W BROADWAY, LONG BEACH, CA, 90802",CA-606; CA-602
100,W FREDRICKS ST,BARSTOW,CA,92311,100 W FREDRICKS ST,TH,NHV PF New Hope Village (TH); NHV New Hope Village (TH),38865,transitional housing,sheltered,"100 W FREDRICKS ST, BARSTOW, CA, 92311",CA-609
1000,AUBURN WAY S,AUBURN,WA,98002,1000 AUBURN WAY S,TH,Severson Program - CoC; Severson House,832,transitional housing,sheltered,"1000 AUBURN WAY S, AUBURN, WA, 98002",WA-500
1000,CRESTED BIRD,IRVINE,CA,92620,1000 CRESTED BIRD,PSH,Doria Apartment Homes Phase I; Doria Apartment Homes,3464,permanent supportive housing,sheltered,"1000 CRESTED BIRD, IRVINE, CA, 92620",CA-602
1000,DOOLITTLE DR,MOSES LAKE,WA,98837,1000 DOOLITTLE DR,ES,Emergency Shelter; HAGESHP Emergency Shelter,3170,emergency shelter,unhoused,"1000 DOOLITTLE DR, MOSES LAKE, WA, 98837",WA-501
1000,E 7TH ST,LOS ANGELES,CA,90021,1000 E 7TH ST,PSH,Ford Apartments,38296,permanent supportive housing,sheltered,"1000 E 7TH ST, LOS ANGELES, CA, 90021",CA-600
1000,EMELINE AVE,SANTA CRUZ,CA,95060,1000 EMELINE AVE,RRH,C.H.A.M.P.S.,30861,rapid rehousing,sheltered,"1000 EMELINE AVE, SANTA CRUZ, CA, 95060",CA-508
1000,MARKET ST,SAN FRANCISCO,CA,94102,1000 MARKET ST,OPH; PSH,Island Bay Homes; San Cristina - HUD PBV; San Christina Hotel; San Cristina Hotel,1826,mixed support,sheltered,"1000 MARKET ST, SAN FRANCISCO, CA, 94102",CA-501
1000,N ALAMEDA ST,LOS ANGELES,CA,90012,1000 N ALAMEDA ST,PSH,Women's Center - Shelter Plus Care - Tenant Based; S. Mark Taper Permanent Housing,32600; 5701,permanent supportive housing,sheltered,"1000 N ALAMEDA ST, LOS ANGELES, CA, 90012",CA-600
1000,N KRAEMER PL,ANAHEIM,CA,92806,1000 N KRAEMER PL,ES,Bridges at Kramer Place; Year-Round Emergency Shelter,4661,emergency shelter,unhoused,"1000 N KRAEMER PL, ANAHEIM, CA, 92806",CA-602
1000,S BASCOM AVE,SAN JOSE,CA,95128,1000 S BASCOM AVE,ES,OWL - Overnight Warming Locations - HTF - SJ; OWL - Overnight Warming Locations - Bascom,8527,emergency shelter,unhoused,"1000 S BASCOM AVE, SAN JOSE, CA, 95128",CA-500
1000,W MACARTHUR BLVD,SANTA ANA,CA,92707,1000 W MACARTHUR BLVD,TH,Transitional Housing Program- Santa Ana,41779,transitional housing,sheltered,"1000 W MACARTHUR BLVD, SANTA ANA, CA, 92707",CA-602
10005,32ND AVE NE,SEATTLE,WA,98125,10005 32ND AVE NE,ES,Maple Leaf,6643,emergency shelter,unhoused,"10005 32ND AVE NE, SEATTLE, WA, 98125",WA-500
1001,NEEDHAM ST,MODESTO,CA,95354,1001 NEEDHAM ST,PSH,Supportive Housing; Permanent Affordable; HOAP; Affordable Housing Project,7172,permanent supportive housing,sheltered,"1001 NEEDHAM ST, MODESTO, CA, 95354",CA-510
1001,POLK ST,SAN FRANCISCO,CA,94109,1001 POLK ST,ES,Next Door; Next Door Seasonal,2483,emergency shelter,unhoused,"1001 POLK ST, SAN FRANCISCO, CA, 94109",CA-501
1001,SW BASELINE ST,HILLSBORO,OR,97123,1001 SW BASELINE ST,RRH; PSH,Rent Assistance Program.  Scattered-site floating inventory units.; Scattered site units Shelter Plus Care tenant-based rental assistance.; Bridges To Housing-GF - County General Fund rental assistance.; Supportive Services for Veterans Families (SSVF) Housing Program; CoC Rapid Re-Housing for Families; Emergency Solutions Grant (ESG) Rapid Re-housing Program,1742,mixed support,sheltered,"1001 SW BASELINE ST, HILLSBORO, OR, 97123",OR-506
10011,SE DIVISION ST,PORTLAND,OR,97266,10011 SE DIVISION ST,RRH,ESO - SSVF - RRH  [Multnomah](7146),44115,rapid rehousing,sheltered,"10011 SE DIVISION ST, PORTLAND, OR, 97266",OR-501
10019,NE 124TH PL,KIRKLAND,WA,98034,10019 NE 124TH PL,TH,Attain - Master Leasing,9050,transitional housing,sheltered,"10019 NE 124TH PL, KIRKLAND, WA, 98034",WA-500
1002,E SENECA ST,SEATTLE,WA,98122,1002 E SENECA ST,PSH; TH; ES,PBRA; TBRA; Lifelong Housing; Medical Priority for Emergency Bednights; Pathways to Health Transitional Program,4210,mixed support,sheltered,"1002 E SENECA ST, SEATTLE, WA, 98122",WA-500
1003,5TH ST,BREMERTON,WA,98337,1003 5TH ST,ES,KRMSafe Harbor (PIT); KRMSafe Harbor (Night by Night),18945,emergency shelter,unhoused,"1003 5TH ST, BREMERTON, WA, 98337",WA-501
1003,BROADWAY,JACKSON,CA,95642,1003 BROADWAY,PSH,Varley Place,40062,permanent supportive housing,sheltered,"1003 BROADWAY, JACKSON, CA, 95642",CA-526
1003,E COOLEY DR,COLTON,CA,92324,1003 E COOLEY DR,RRH; PSH,Lighthouse SSC Permanent Housing for Disabled Women with Children; LSSC Priority 1/Surge SSVF Program; LSS GOV Adult Re-entry (RR-H); LSS CoC Hope for Heroes (PSH); LSSC Renewal SSVF Program; LSS GOV Warm Re-entry (RR-H); LSS SSVF Rapid Re-Housing (RR-H); Lighthouse SSC Rapid Rehousing,38331; 30966,mixed support,sheltered,"1003 E COOLEY DR, COLTON, CA, 92324",CA-609; CA-608
1004,DOOLITTLE DR,MOSES LAKE,WA,98837,1004 DOOLITTLE DR,ES,HAGESHP Emergency Shelter,3170,emergency shelter,unhoused,"1004 DOOLITTLE DR, MOSES LAKE, WA, 98837",WA-501
1004,ECHO PARK AVE,LOS ANGELES,CA,90026,1004 ECHO PARK AVE,TH; PSH,Residential Care Facilities for the Chronically Ill; Transitional Residential Care Facility; CA0450 Ready Willing and Able Program SPA 6 & 4,5701,mixed support,sheltered,"1004 ECHO PARK AVE, LOS ANGELES, CA, 90026",CA-600
10040,S VAN NESS AVE,LOS ANGELES,CA,90047,10040 S VAN NESS AVE,TH,UFC Pathways to Independence SPA 8,6955,transitional housing,sheltered,"10040 S VAN NESS AVE, LOS ANGELES, CA, 90047",CA-600
10049,35TH AVE NE,SEATTLE,WA,98125,10049 35TH AVE NE,TH; ES,The Shelter; The Adolescent Shelter; Mary Witt House,7635; 1657,mixed support,sheltered,"10049 35TH AVE NE, SEATTLE, WA, 98125",WA-500
1005,11TH ST,ARCATA,CA,95521,1005 11TH ST,ES; TH; PSH,Family Shelter; Arcata House Transitional Housing; Apartments First!,103,mixed support,sheltered,"1005 11TH ST, ARCATA, CA, 95521",CA-522
1005,E LAS TUNAS DR,SAN GABRIEL,CA,91776,1005 E LAS TUNAS DR,ES,Family Promise of San Gabriel Valley,18674,emergency shelter,unhoused,"1005 E LAS TUNAS DR, SAN GABRIEL, CA, 91776",CA-600
1005,S 3RD ST,MOUNT VERNON,WA,98273,1005 S 3RD ST,PSH,CHESkagit Scattered Site PSH,11367,permanent supportive housing,sheltered,"1005 S 3RD ST, MOUNT VERNON, WA, 98273",WA-501
10055,E BURNSIDE ST,PORTLAND,OR,97216,10055 E BURNSIDE ST,RRH; PSH,"Impact Northwest ESGP (3922); Impact Northwest - Scattered (4283); Impact Northwest STRA ESGP (3922, 5638); Impact Northwest: HUD Family Futures (3081); Impact Northwest - HUD Family Futures RRH (3081); Impact Northwest SSVF -RRH (6366); Impact NW - PSH",32707; 11471,mixed support,sheltered,"10055 E BURNSIDE ST, PORTLAND, OR, 97216",WA-508; OR-501
1006,E 28TH ST,LOS ANGELES,CA,90011,1006 E 28TH ST,PSH,28th Street Apartments; 28th St. Apartments,18776; 28874,permanent supportive housing,sheltered,"1006 E 28TH ST, LOS ANGELES, CA, 90011",CA-600
1007,KOALA DR,OMAK,WA,98841,1007 KOALA DR,ES; PSH,The Shove House Dorms Emergency Shelter; OBHThe Shove House Apartments; The Shove House; OBHThe Shove House Dorms,5088,mixed support,sheltered,"1007 KOALA DR, OMAK, WA, 98841",WA-501
10079,CHURCH ST,TRUCKEE,CA,96161,10079 CHURCH ST,ES,Truckee North Tahoe Emergency Warming Shelter,41607,emergency shelter,unhoused,"10079 CHURCH ST, TRUCKEE, CA, 96161",CA-531; CA-515
1008,S 3RD ST,MOUNT VERNON,WA,98273,1008 S 3RD ST,ES,FSHMen's House Shelter; Friendship Men̠s House,3013,emergency shelter,unhoused,"1008 S 3RD ST, MOUNT VERNON, WA, 98273",WA-501
101,6TH ST,SANTA ROSA,CA,95401,101 6TH ST,ES,Men's Mission; RGM Men's Shelter; Men's Shelter,5980,emergency shelter,unhoused,"101 6TH ST, SANTA ROSA, CA, 95401",CA-504
101,DE MONTFORT AVE,SAN FRANCISCO,CA,94112,101 DE MONTFORT AVE,ES,HCHV/CERS - Demontfort House; HCHV/EH - Demontfort House; DeMontfort Street Annex- VA: CRS,10006,emergency shelter,unhoused,"101 DE MONTFORT AVE, SAN FRANCISCO, CA, 94112",CA-501
101,E HARTSON AVE,SPOKANE,WA,99202,101 E HARTSON AVE,RRH; TH; ES,St. Margaret's Transitional Housing Program; CC--TH--WA0109--SMS; St. Margaret's Shelter; CC--ES--SMS Shelter; CC--RRH--WA0288--Rapid Rehousing; CC-RRH-Rapid Rehousing (WA0288); CC-RRH-WA0288--Rapid Rehousing,8118,mixed support,sheltered,"101 E HARTSON AVE, SPOKANE, WA, 99202",WA-502
101,E MARKET ST,ABERDEEN,WA,98520,101 E MARKET ST,ES; RRH; OPH; PSH,CCACJTA RRH; CCAPSH for CH Families; CCATBRA RRH; CCAHEN Housing Grant RRH; CCACoC PSH; CCACHG Prevention RRH; CCAEmerson Manor; CCACBRA PSH; CCAFamily RRH; CCACHG RRH; CCAHousing Supports for TC RRH; CCACold Weather Shelter; CCAYoung Adults RRH; CCAEnding Family Homelessness RRH,12827,mixed support,sheltered,"101 E MARKET ST, ABERDEEN, WA, 98520",WA-501
101,GROVE ST,SAN FRANCISCO,CA,94102,101 GROVE ST,ES; PSH,Stabilization Housing Program; MHSA / Behavioral Health Stabilization Units; Minna Lee; Minna Lee: HDAP,31980; 42983,mixed support,sheltered,"101 GROVE ST, SAN FRANCISCO, CA, 94102",CA-501
101,OAKES AVE,CLE ELUM,WA,98922,101 OAKES AVE,TH; ES,Polaris,3303,mixed support,sheltered,"101 OAKES AVE, CLE ELUM, WA, 98922",WA-501
101,SILVER DOLLAR WAY,CHICO,CA,95928,101 SILVER DOLLAR WAY,PSH; ES,Torres Shelter; Valley View,5285; 8215,mixed support,sheltered,"101 SILVER DOLLAR WAY, CHICO, CA, 95928",CA-519
101,STERLING CT,ROSEVILLE,CA,95661,101 STERLING CT,PSH,APSH,149,permanent supportive housing,sheltered,"101 STERLING CT, ROSEVILLE, CA, 95661",CA-515
1010,ASHLAND AVE,SIMI VALLEY,CA,93065,1010 ASHLAND AVE,PSH,Casa de Paz,9171,permanent supportive housing,sheltered,"1010 ASHLAND AVE, SIMI VALLEY, CA, 93065",CA-611
1010,HURLEY WAY,SACRAMENTO,CA,95825,1010 HURLEY WAY,PSH; TH; ES,Elk Grove Winter Sanctuary - ES; Carmichael Winter Sanctuary - ES; Citrus Heights HART - ES; Rancho Cordova Winter Sanctuary - ES; North Sacramento Winter Sanctuary - ES; Folsom Winter Shelter - ES; Shared Community - PSH; City Scattered Site (CSS) Shelter - ES; Charlotte House - TH,44341; 5560,mixed support,sheltered,"1010 HURLEY WAY, SACRAMENTO, CA, 95825",CA-503
10104,VISTA DR,CUPERTINO,CA,95014,10104 VISTA DR,RRH; TH,Haven to Home Rapid Rehousing; Transitional Housing Program; WVCS - Transitional Housing Program(8),10305,mixed support,sheltered,"10104 VISTA DR, CUPERTINO, CA, 95014",CA-500
1011,27TH ST,ANACORTES,WA,98221,1011 27TH ST,ES,Emergency Shelter; AFSEmergency Shelter,12652,emergency shelter,unhoused,"1011 27TH ST, ANACORTES, WA, 98221",WA-501
1011,DIGBY RD,MOUNT VERNON,WA,98274,1011 DIGBY RD,TH,Transitions House; SKATransitional House,12800,transitional housing,sheltered,"1011 DIGBY RD, MOUNT VERNON, WA, 98274",WA-501
1011,HOWARD ST,SAN FRANCISCO,CA,94103,1011 HOWARD ST,OPH; PSH,Raman - GF; Raman Hotel,6575,mixed support,sheltered,"1011 HOWARD ST, SAN FRANCISCO, CA, 94103",CA-501
1011,WATERLOO ST,LOS ANGELES,CA,90026,1011 WATERLOO ST,PSH,Waterloo Heights Apartments,8861,permanent supportive housing,sheltered,"1011 WATERLOO ST, LOS ANGELES, CA, 90026",CA-600
10110,19TH AVE SE,EVERETT,WA,98208,10110 19TH AVE SE,OPH; PSH,Homeless Family Case Management; YWCA-Project Reunite-PSH; Project Reunite,7639,mixed support,sheltered,"10110 19TH AVE SE, EVERETT, WA, 98208",WA-504
10116,SE 6TH ST,BELLEVUE,WA,98004,10116 SE 6TH ST,OPH; TH,Hopelink Place,3301,mixed support,sheltered,"10116 SE 6TH ST, BELLEVUE, WA, 98004",WA-500
1012,C ST,SAN DIEGO,CA,92101,1012 C ST,TH; ES,YWCA - Cortez Hill (5833); Passages Stabilization 5 (5811); Alpha - Cortez Hill,8000; 11962,mixed support,sheltered,"1012 C ST, SAN DIEGO, CA, 92101",CA-601
10125,FRONTIER PL NW,SILVERDALE,WA,98383,10125 FRONTIER PL NW,RRH,WSYInd Living Skills - Rent Assistance RRH,32311,rapid rehousing,sheltered,"10125 FRONTIER PL NW, SILVERDALE, WA, 98383",WA-501
1013,W HOLLY ST,BELLINGHAM,WA,98225,1013 W HOLLY ST,ES,LMWEmergency Shelter DIC (LSA),3990,emergency shelter,unhoused,"1013 W HOLLY ST, BELLINGHAM, WA, 98225",WA-501
1014,E 7TH ST,LOS ANGELES,CA,90021,1014 E 7TH ST,OPH; PSH,Sec 8 Mod Rehab Prentice Hotel; Prentice Hotel,38296,mixed support,sheltered,"1014 E 7TH ST, LOS ANGELES, CA, 90021",CA-600
10155,COLIMA RD,WHITTIER,CA,90603,10155 COLIMA RD,TH; RRH; ES; PSH; OPH,FSC Rapid Re-Housing; Homeless Section 8 Voucher Program (HACoLA); Shelter Plus Care; Coordinated Assessment Motel Vouchers; TWC Cities; Coordinated Assessment Motel Vouchers (TWC); First 5 LA Rental Assistance RRH Round 2; Everychild Family Housing; TWC Family Housing Program; CA0465 Shelter Plus Care; FSC Rapid Re-Housing (TWC); CA1219 Shelter Plus Care,6003; 32334; 41205,mixed support,sheltered,"10155 COLIMA RD, WHITTIER, CA, 90603",CA-600
1016,N SUPERIOR ST,SPOKANE,WA,99202,1016 N SUPERIOR ST,TH,VOA--TH--Service Intensive; VOA--TH--Bridge Housing; VOA--TH--Service Intensive 19,7261,transitional housing,sheltered,"1016 N SUPERIOR ST, SPOKANE, WA, 99202",WA-502
1017,BEACH AVE,MARYSVILLE,WA,98270,1017 BEACH AVE,PSH,Beachwood; HH-Beachwood,8932,permanent supportive housing,sheltered,"1017 BEACH AVE, MARYSVILLE, WA, 98270",WA-504
1017,W 50TH ST,LOS ANGELES,CA,90037,1017 W 50TH ST,TH,First to Serve Transitional Housing Program,28969,transitional housing,sheltered,"1017 W 50TH ST, LOS ANGELES, CA, 90037",CA-600
1019,CHESTNUT ST,ESCONDIDO,CA,92025,1019 CHESTNUT ST,PSH,MHS Housing Plus II (6206); MHS - Housing Plus II (6206),8399; 1893,permanent supportive housing,sheltered,"1019 CHESTNUT ST, ESCONDIDO, CA, 92025",CA-601
102,S NACHES AVE,YAKIMA,WA,98901,102 S NACHES AVE,TH,Unnamed (302/310/313),6908,transitional housing,sheltered,"102 S NACHES AVE, YAKIMA, WA, 98901",WA-501; WA-507
1020,12TH ST,SANTA MONICA,CA,90403,1020 12TH ST,TH,Upward Bound House Family Place; CA0518 Family Place Transitional SHP,10185,transitional housing,sheltered,"1020 12TH ST, SANTA MONICA, CA, 90403",CA-600
1020,HAIGHT ST,SAN FRANCISCO,CA,94117,1020 HAIGHT ST,TH; ES,1020 Haight; 1020 Haight Street - RHY; 1020 Haight Seasonal,4062,mixed support,sheltered,"1020 HAIGHT ST, SAN FRANCISCO, CA, 94117",CA-501
1020,N STATE ST,BELLINGHAM,WA,98225,1020 N STATE ST,PSH; TH; RRH; ES,NYSThe PAD	HOPE Beds; NYS22 North PBV; NYSThe PAD - Emergency Shelter (BCP); P.A.D. Program; NYSThePAD - HOPE Beds; NYSWHS Re-Housing RRH; NYSTransitional Living (Whatcom); NYSThe PAD Emergency Shelter (BCP); NYSEmergency Shelter; NYSWHS motel vouchers; NYSThe PAD	Long Term; NWYS Transitional Living (Skagit); Transitional Living Program (Whatcom); NYSHSSP ES Vouchers,4861; 42922,mixed support,sheltered,"1020 N STATE ST, BELLINGHAM, WA, 98225",WA-501
1020,S VAN NESS AVE,SAN FRANCISCO,CA,94110,1020 S VAN NESS AVE,OPH; PSH,Mission Hotel; Mission Hotel- GF,6575,mixed support,sheltered,"1020 S VAN NESS AVE, SAN FRANCISCO, CA, 94110",CA-501
1020,SW 130TH ST,BURIEN,WA,98146,1020 SW 130TH ST,TH,Burien; Burien Veterans Housing,10231; 4539,transitional housing,sheltered,"1020 SW 130TH ST, BURIEN, WA, 98146",WA-500
10200,PIONEER RD,TUSTIN,CA,92782,10200 PIONEER RD,TH,Transitional Housing - Tustin,9730,transitional housing,sheltered,"10200 PIONEER RD, TUSTIN, CA, 92782",CA-602
10203,SAN PABLO AVE,EL CERRITO,CA,94530,10203 SAN PABLO AVE,PSH,Idaho Apartments,9649,permanent supportive housing,sheltered,"10203 SAN PABLO AVE, EL CERRITO, CA, 94530",CA-505
10205,EL CAMINO REAL,ATASCADERO,CA,93422,10205 EL CAMINO REAL,PSH,North County Permanent Housing and Case Management,11287,permanent supportive housing,sheltered,"10205 EL CAMINO REAL, ATASCADERO, CA, 93422",CA-614
10215,RUOFF AVE,WHITTIER,CA,90604,10215 RUOFF AVE,TH,UFC Pathways to Independence SPA 7,6955,transitional housing,sheltered,"10215 RUOFF AVE, WHITTIER, CA, 90604",CA-600
10217,INGLEWOOD AVE,INGLEWOOD,CA,90304,10217 INGLEWOOD AVE,RRH,CES RRH Youth St Margaret Center,2947,rapid rehousing,sheltered,"10217 INGLEWOOD AVE, INGLEWOOD, CA, 90304",CA-600
1022,W SHANNON AVE,SPOKANE,WA,99205,1022 W SHANNON AVE,OPH; PSH,Scattered Sites PSH; SACH--PSH--Newark; Scattered Sites Permanent Housing Program; Newark Apartments,41309; 5811,mixed support,sheltered,"1022 W SHANNON AVE, SPOKANE, WA, 99205",WA-502
1024,101ST AVE,OAKLAND,CA,94603,1024 101ST AVE,TH,EOCP Our House,2285,transitional housing,sheltered,"1024 101ST AVE, OAKLAND, CA, 94603",CA-502
1025,S LONG BEACH BLVD,COMPTON,CA,90221,1025 S LONG BEACH BLVD,RRH,Family Reunification Rapid Re-Housing SPA 6 UBH; COC Rapid Re-Housing Families; CoC Rapid Re-Housing Families,10185; 41982,rapid rehousing,sheltered,"1025 S LONG BEACH BLVD, COMPTON, CA, 90221",CA-600
1026,N FOREST ST,BELLINGHAM,WA,98225,1026 N FOREST ST,TH; ES,BELLarrabee Emergency Housing; Transitional Housing Program; BELLarrabee Transitional Housing; Short Term Housing Program,12690,mixed support,sheltered,"1026 N FOREST ST, BELLINGHAM, WA, 98225",WA-501
10264,RINCON AVE,PACOIMA,CA,91331,10264 RINCON AVE,ES,The Genesis House,23351,emergency shelter,unhoused,"10264 RINCON AVE, PACOIMA, CA, 91331",CA-600
103,BODIN CIR,TRAVIS AFB,CA,94535,103 BODIN CIR,PSH,(VA) HUD-VASH,16341,permanent supportive housing,sheltered,"103 BODIN CIR, TRAVIS AFB, CA, 94535",CA-518
103,COMMERCIAL ST,CLOVERDALE,CA,95425,103 COMMERCIAL ST,PSH,PHC PSH,41580,permanent supportive housing,sheltered,"103 COMMERCIAL ST, CLOVERDALE, CA, 95425",CA-504
1030,CALLE NEGOCIO,SAN CLEMENTE,CA,92673,1030 CALLE NEGOCIO,RRH; PSH,FAM PSH Collaboration II; Rapid Re-housing,8578; 4661,mixed support,sheltered,"1030 CALLE NEGOCIO, SAN CLEMENTE, CA, 92673",CA-602
1030,LEIGH AVE,SAN JOSE,CA,95126,1030 LEIGH AVE,PSH,Leigh Avenue Senior Apartments,5902,permanent supportive housing,sheltered,"1030 LEIGH AVE, SAN JOSE, CA, 95126",CA-500
1030,SOUTHWOOD DR,SAN LUIS OBISPO,CA,93401,1030 SOUTHWOOD DR,ES,Prado Warming Center,11287,emergency shelter,unhoused,"1030 SOUTHWOOD DR, SAN LUIS OBISPO, CA, 93401",CA-614
1030,W EL SEGUNDO BLVD,GARDENA,CA,90247,1030 W EL SEGUNDO BLVD,ES,GR Homeless Assistance Program (SPA 8),18705,emergency shelter,unhoused,"1030 W EL SEGUNDO BLVD, GARDENA, CA, 90247",CA-600
10301,NE GLISAN ST,PORTLAND,OR,97220,10301 NE GLISAN ST,RRH; PSH,IRCO ESG STRA RRH (6218); IRCO - MHT - RRH (5166); IRCO - MHT - HCV (5167),44009; 38399,mixed support,sheltered,"10301 NE GLISAN ST, PORTLAND, OR, 97220",OR-501
1032,W 18TH ST,LOS ANGELES,CA,90015,1032 W 18TH ST,ES,CES Crisis Housing Program; CES Enhanced Bridge Housing Older Adults; CES Bridge Housing Program,40007,emergency shelter,unhoused,"1032 W 18TH ST, LOS ANGELES, CA, 90015",CA-600
1033,N SOLDANO AVE,AZUSA,CA,91702,1033 N SOLDANO AVE,ES,Pathways VIII Sober Living,42716,emergency shelter,unhoused,"1033 N SOLDANO AVE, AZUSA, CA, 91702",CA-600
1034,KEARNY ST,SAN FRANCISCO,CA,94133,1034 KEARNY ST,ES,North Beach Citizens Stabilization,31982,emergency shelter,unhoused,"1034 KEARNY ST, SAN FRANCISCO, CA, 94133",CA-501
1034,N MAGNOLIA AVE,EL CAJON,CA,92020,1034 N MAGNOLIA AVE,RRH; TH; ES,El Cajon Housing Connections (6961); Crisis House - Joint-RRH - New Journey (7068); Crisis House - PH-RRH - Journey Home (6776+6712); Journey Home Veterans and Families (6776); Transitional Families w/Kids FOCUS (5387); Crisis House - Joint-TH - New Journey (7069); Crisis House - ES - Journey On (7020); Crisis House - PH-RRH - Safe Journey (6737); ISN East County - Crisis House (5942); ISN East County (5942),8521; 44174; 8410,mixed support,sheltered,"1034 N MAGNOLIA AVE, EL CAJON, CA, 92020",CA-601
1036,ASHLAND AVE,SIMI VALLEY,CA,93065,1036 ASHLAND AVE,PSH,La Rahada Apartments; La Rahada,9171,permanent supportive housing,sheltered,"1036 ASHLAND AVE, SIMI VALLEY, CA, 93065",CA-611
1036,HARDING ST,FAIRFIELD,CA,94533,1036 HARDING ST,PSH,Living Self Sufficiently,2308,permanent supportive housing,sheltered,"1036 HARDING ST, FAIRFIELD, CA, 94533",CA-518
1037,E LEXINGTON AVE,EL CAJON,CA,92020,1037 E LEXINGTON AVE,PSH,Volunteers of America Young Adult S+C (6288),,permanent supportive housing,sheltered,"1037 E LEXINGTON AVE, EL CAJON, CA, 92020",CA-601
