census year,demographic,Estimate,variable,total_population,Percent,geography,state
2015,American Indian and Alaska Native,18859,race,768418,0.025,Multnomah County,Oregon
2015,Asian,67810,race,768418,0.08800000000000001,Multnomah County,Oregon
2015,Black or African American,53688,race,768418,0.07,Multnomah County,Oregon
2015,Native Hawaiian and Other Pacific Islander,8083,race,768418,0.011000000000000001,Multnomah County,Oregon
2015,Some other race,28108,race,768418,0.037000000000000005,Multnomah County,Oregon
2015,White,634925,race,768418,0.826,Multnomah County,Oregon
2015,American Indian and Alaska Native,34640,race,1465832,0.024,Sacramento County,California
2015,Asian,261225,race,1465832,0.17800000000000002,Sacramento County,California
2015,Black or African American,182479,race,1465832,0.124,Sacramento County,California
2015,Native Hawaiian and Other Pacific Islander,26841,race,1465832,0.018000000000000002,Sacramento County,California
2015,Some other race,119835,race,1465832,0.08199999999999999,Sacramento County,California
2015,White,950502,race,1465832,0.648,Sacramento County,California
2015,American Indian and Alaska Native,53253,race,3223096,0.017,San Diego County,California
2015,Asian,443075,race,3223096,0.13699999999999998,San Diego County,California
2015,Black or African American,204183,race,3223096,0.063,San Diego County,California
2015,Native Hawaiian and Other Pacific Islander,29759,race,3223096,0.009000000000000001,San Diego County,California
2015,Some other race,248685,race,3223096,0.077,San Diego County,California
2015,White,2414382,race,3223096,0.7490000000000001,San Diego County,California
