geography,state,census demographic,census estimate,census percent,variable,census year,total_population,coc_number
Seattle,Washington,Some other race,19984,0.027999999999999997,race alone or in combination,2019,724305,WA-500
Seattle,Washington,White,532241,0.735,race alone or in combination,2019,724305,WA-500
Seattle,Washington,White alone,462426,0.638,race alone or in combination,2019,724305,WA-500
Los Angeles,California,Hispanic or Latino (of any race),1813852,0.48100000000000004,ethnicity,2010,3772486,CA-600
Los Angeles,California,Not Hispanic or Latino,1958634,0.519,ethnicity,2010,3772486,CA-600
Los Angeles,California,American Indian and Alaska Native,40267,0.011000000000000001,race alone or in combination,2010,3772486,CA-600
Los Angeles,California,Asian,465221,0.12300000000000001,race alone or in combination,2010,3772486,CA-600
Los Angeles,California,Black or African American,396920,0.105,race alone or in combination,2010,3772486,CA-600
Los Angeles,California,Native Hawaiian and Other Pacific Islander,12556,0.003,race alone or in combination,2010,3772486,CA-600
Los Angeles,California,Some other race,976306,0.259,race alone or in combination,2010,3772486,CA-600
Los Angeles,California,White,2000380,0.53,race alone or in combination,2010,3772486,CA-600
Los Angeles,California,White alone,1094791,0.29,race alone or in combination,2010,3772486,CA-600
Oakland,California,Hispanic or Latino (of any race),97393,0.252,ethnicity,2010,386909,CA-502
Oakland,California,Not Hispanic or Latino,289516,0.748,ethnicity,2010,386909,CA-502
Oakland,California,American Indian and Alaska Native,7858,0.02,race alone or in combination,2010,386909,CA-502
Oakland,California,Asian,67513,0.174,race alone or in combination,2010,386909,CA-502
Oakland,California,Black or African American,118488,0.306,race alone or in combination,2010,386909,CA-502
Oakland,California,Native Hawaiian and Other Pacific Islander,3115,0.008,race alone or in combination,2010,386909,CA-502
Oakland,California,Some other race,51436,0.133,race alone or in combination,2010,386909,CA-502
Oakland,California,White,157294,0.40700000000000003,race alone or in combination,2010,386909,CA-502
Oakland,California,White alone,101227,0.262,race alone or in combination,2010,386909,CA-502
Portland,Oregon,Hispanic or Latino (of any race),49888,0.08800000000000001,ethnicity,2010,566686,OR-501
Portland,Oregon,Not Hispanic or Latino,516798,0.912,ethnicity,2010,566686,OR-501
Portland,Oregon,American Indian and Alaska Native,15872,0.027999999999999997,race alone or in combination,2010,566686,OR-501
Portland,Oregon,Asian,48339,0.085,race alone or in combination,2010,566686,OR-501
Portland,Oregon,Black or African American,43897,0.077,race alone or in combination,2010,566686,OR-501
Portland,Oregon,Native Hawaiian and Other Pacific Islander,4356,0.008,race alone or in combination,2010,566686,OR-501
Portland,Oregon,Some other race,19826,0.035,race alone or in combination,2010,566686,OR-501
Portland,Oregon,White,460179,0.812,race alone or in combination,2010,566686,OR-501
Portland,Oregon,White alone,413301,0.7290000000000001,race alone or in combination,2010,566686,OR-501
Sacramento,California,Hispanic or Latino (of any race),116672,0.254,ethnicity,2010,459511,CA-503
Sacramento,California,Not Hispanic or Latino,342839,0.746,ethnicity,2010,459511,CA-503
Sacramento,California,American Indian and Alaska Native,11881,0.026000000000000002,race alone or in combination,2010,459511,CA-503
Sacramento,California,Asian,96263,0.209,race alone or in combination,2010,459511,CA-503
Sacramento,California,Black or African American,75113,0.163,race alone or in combination,2010,459511,CA-503
Sacramento,California,Native Hawaiian and Other Pacific Islander,8650,0.019,race alone or in combination,2010,459511,CA-503
Sacramento,California,Some other race,49404,0.10800000000000001,race alone or in combination,2010,459511,CA-503
Sacramento,California,White,248557,0.541,race alone or in combination,2010,459511,CA-503
Sacramento,California,White alone,165972,0.361,race alone or in combination,2010,459511,CA-503
San Diego,California,Hispanic or Latino (of any race),357799,0.27899999999999997,ethnicity,2010,1282800,CA-601
San Diego,California,Not Hispanic or Latino,925001,0.721,ethnicity,2010,1282800,CA-601
San Diego,California,American Indian and Alaska Native,18650,0.015,race alone or in combination,2010,1282800,CA-601
San Diego,California,Asian,226138,0.17600000000000002,race alone or in combination,2010,1282800,CA-601
San Diego,California,Black or African American,99469,0.078,race alone or in combination,2010,1282800,CA-601
San Diego,California,Native Hawaiian and Other Pacific Islander,11681,0.009000000000000001,race alone or in combination,2010,1282800,CA-601
San Diego,California,Some other race,93319,0.073,race alone or in combination,2010,1282800,CA-601
San Diego,California,White,889772,0.6940000000000001,race alone or in combination,2010,1282800,CA-601
San Diego,California,White alone,593166,0.462,race alone or in combination,2010,1282800,CA-601
Seattle,Washington,Hispanic or Latino (of any race),36467,0.061,ethnicity,2010,595240,WA-500
Seattle,Washington,Not Hispanic or Latino,558773,0.9390000000000001,ethnicity,2010,595240,WA-500
Seattle,Washington,American Indian and Alaska Native,12498,0.021,race alone or in combination,2010,595240,WA-500
Seattle,Washington,Asian,95529,0.16,race alone or in combination,2010,595240,WA-500
Seattle,Washington,Black or African American,53764,0.09,race alone or in combination,2010,595240,WA-500
Seattle,Washington,Native Hawaiian and Other Pacific Islander,5477,0.009000000000000001,race alone or in combination,2010,595240,WA-500
Seattle,Washington,Some other race,14268,0.024,race alone or in combination,2010,595240,WA-500
Seattle,Washington,White,443568,0.745,race alone or in combination,2010,595240,WA-500
Seattle,Washington,White alone,399366,0.6709999999999999,race alone or in combination,2010,595240,WA-500
Los Angeles,California,Hispanic or Latino (of any race),1898577,0.48700000000000004,ethnicity,2015,3900794,CA-600
Los Angeles,California,Not Hispanic or Latino,2002217,0.513,ethnicity,2015,3900794,CA-600
Los Angeles,California,American Indian and Alaska Native,55248,0.013999999999999999,race alone or in combination,2015,3900794,CA-600
Los Angeles,California,Asian,508196,0.13,race alone or in combination,2015,3900794,CA-600
Los Angeles,California,Black or African American,392913,0.10099999999999999,race alone or in combination,2015,3900794,CA-600
Los Angeles,California,Native Hawaiian and Other Pacific Islander,14828,0.004,race alone or in combination,2015,3900794,CA-600
Los Angeles,California,Some other race,915884,0.235,race alone or in combination,2015,3900794,CA-600
Los Angeles,California,White,2164127,0.555,race alone or in combination,2015,3900794,CA-600
Los Angeles,California,White alone,1107571,0.284,race alone or in combination,2015,3900794,CA-600
Oakland,California,Hispanic or Latino (of any race),106643,0.261,ethnicity,2015,408073,CA-502
Oakland,California,Not Hispanic or Latino,301430,0.7390000000000001,ethnicity,2015,408073,CA-502
Oakland,California,American Indian and Alaska Native,8861,0.022000000000000002,race alone or in combination,2015,408073,CA-502
Oakland,California,Asian,76305,0.187,race alone or in combination,2015,408073,CA-502
Oakland,California,Black or African American,118790,0.29100000000000004,race alone or in combination,2015,408073,CA-502
Oakland,California,Native Hawaiian and Other Pacific Islander,4651,0.011000000000000001,race alone or in combination,2015,408073,CA-502
Oakland,California,Some other race,50243,0.12300000000000001,race alone or in combination,2015,408073,CA-502
Oakland,California,White,178523,0.43700000000000006,race alone or in combination,2015,408073,CA-502
Oakland,California,White alone,109805,0.26899999999999996,race alone or in combination,2015,408073,CA-502
Portland,Oregon,Hispanic or Latino (of any race),59670,0.09699999999999999,ethnicity,2015,612206,OR-501
Portland,Oregon,Not Hispanic or Latino,552536,0.903,ethnicity,2015,612206,OR-501
Portland,Oregon,American Indian and Alaska Native,14859,0.024,race alone or in combination,2015,612206,OR-501
Portland,Oregon,Asian,58208,0.095,race alone or in combination,2015,612206,OR-501
Portland,Oregon,Black or African American,45008,0.07400000000000001,race alone or in combination,2015,612206,OR-501
Portland,Oregon,Native Hawaiian and Other Pacific Islander,5545,0.009000000000000001,race alone or in combination,2015,612206,OR-501
Portland,Oregon,Some other race,20212,0.033,race alone or in combination,2015,612206,OR-501
Portland,Oregon,White,502264,0.82,race alone or in combination,2015,612206,OR-501
Portland,Oregon,White alone,438499,0.716,race alone or in combination,2015,612206,OR-501
Sacramento,California,Hispanic or Latino (of any race),134951,0.281,ethnicity,2015,480566,CA-503
Sacramento,California,Not Hispanic or Latino,345615,0.7190000000000001,ethnicity,2015,480566,CA-503
Sacramento,California,American Indian and Alaska Native,11150,0.023,race alone or in combination,2015,480566,CA-503
Sacramento,California,Asian,102597,0.213,race alone or in combination,2015,480566,CA-503
Sacramento,California,Black or African American,79516,0.165,race alone or in combination,2015,480566,CA-503
Sacramento,California,Native Hawaiian and Other Pacific Islander,12369,0.026000000000000002,race alone or in combination,2015,480566,CA-503
Sacramento,California,Some other race,47992,0.1,race alone or in combination,2015,480566,CA-503
Sacramento,California,White,264301,0.55,race alone or in combination,2015,480566,CA-503
Sacramento,California,White alone,160778,0.335,race alone or in combination,2015,480566,CA-503
San Diego,California,Hispanic or Latino (of any race),408714,0.301,ethnicity,2015,1359791,CA-601
San Diego,California,Not Hispanic or Latino,951077,0.6990000000000001,ethnicity,2015,1359791,CA-601
San Diego,California,American Indian and Alaska Native,21317,0.016,race alone or in combination,2015,1359791,CA-601
San Diego,California,Asian,261784,0.193,race alone or in combination,2015,1359791,CA-601
San Diego,California,Black or African American,106392,0.078,race alone or in combination,2015,1359791,CA-601
San Diego,California,Native Hawaiian and Other Pacific Islander,11100,0.008,race alone or in combination,2015,1359791,CA-601
San Diego,California,Some other race,103849,0.076,race alone or in combination,2015,1359791,CA-601
San Diego,California,White,927543,0.682,race alone or in combination,2015,1359791,CA-601
San Diego,California,White alone,586863,0.43200000000000005,race alone or in combination,2015,1359791,CA-601
Seattle,Washington,Hispanic or Latino (of any race),42490,0.065,ethnicity,2015,653017,WA-500
Seattle,Washington,Not Hispanic or Latino,610527,0.935,ethnicity,2015,653017,WA-500
Seattle,Washington,American Indian and Alaska Native,14247,0.022000000000000002,race alone or in combination,2015,653017,WA-500
Seattle,Washington,Asian,113915,0.174,race alone or in combination,2015,653017,WA-500
Seattle,Washington,Black or African American,59024,0.09,race alone or in combination,2015,653017,WA-500
Seattle,Washington,Native Hawaiian and Other Pacific Islander,5933,0.009000000000000001,race alone or in combination,2015,653017,WA-500
Seattle,Washington,Some other race,15152,0.023,race alone or in combination,2015,653017,WA-500
Seattle,Washington,White,489430,0.7490000000000001,race alone or in combination,2015,653017,WA-500
Seattle,Washington,White alone,430085,0.659,race alone or in combination,2015,653017,WA-500
